dataset,target_model,budget,source,analysis_target,family,method,crc,n1,seeds,coverage_mean,coverage_variance,coverage_mse_to_target,coverage_bias,size_mean,infinite_rate_mean,expected_cost_mean,realized_cost_mean,conditional_variance_mean,split_budget_valid_rate,crc_selector_valid_rate,static_coverage_variance,static_coverage_mse_to_target,static_conditional_variance_mean,coverage_variance_ratio_to_static,coverage_mse_to_target_ratio_to_static,conditional_variance_mean_ratio_to_static
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llama_guard_20_calibration_upb_unified_aht_v2,0.9,Information-gain,Information-gain,False,50.0,50,0.9007200014591217,0.00013074098040879333,0.0001286445629017548,0.0007200014591216553,124.24613311767578,0.40203999876976015,20.473944559595065,,0.3922723879881271,0.48,,0.0003317824529339798,0.00032601791555013886,2.1157850945512022,0.39405634400686346,0.3945935384706499,0.1854027561676038
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llm-judge_qwen25_14b_instruct_20_calibration_upb_unified_aht_v2,0.9,Information-gain,Information-gain,False,50.0,50,0.8996333336830139,0.00026172442493984787,0.0002566243806290631,-0.0003666663169861195,189.12460662841798,0.690880001783371,19.71742679846139,,2.093951474688922,0.68,,0.000274968552210988,0.00027616001161602836,2.095436431204846,0.9518340291475308,0.9292597401316469,0.9992913378359706
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llama_guard_20_calibration_upb_unified_aht_v2,0.9,Information-gain,Information-gain,False,100.0,50,0.8990733301639557,8.752070156091753e-05,8.662900451473364e-05,-0.0009266698360442804,123.45561279296875,0.3997466671466827,20.27103539894291,,0.35075473649921945,0.5,,0.0003317824529339798,0.00032601791555013886,2.1157850945512022,0.26378942221616813,0.2657185399414371,0.1657799449492866
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llm-judge_qwen25_14b_instruct_20_calibration_upb_unified_aht_v2,0.9,Information-gain,Information-gain,False,100.0,50,0.9001866698265075,0.00023504837435085922,0.00023038225248797026,0.00018666982650750175,189.21835998535155,0.6923000013828278,19.840642110763884,,2.0547285082007596,0.54,,0.000274968552210988,0.00027616001161602836,2.095436431204846,0.8548191146255251,0.834234656711605,0.980573057527362
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llama_guard_20_calibration_upb_unified_aht_v2,0.9,Information-gain,Information-gain,False,200.0,50,0.9002799987792969,0.00011851411738670291,0.00011622223435537658,0.0002799987792968528,123.94143325805663,0.4011533313989639,20.067933332797402,,0.3471971166106793,0.48,,0.0003317824529339798,0.00032601791555013886,2.1157850945512022,0.35720429558185707,0.3564903301686884,0.16409847933271612
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llm-judge_qwen25_14b_instruct_20_calibration_upb_unified_aht_v2,0.9,Information-gain,Information-gain,False,200.0,50,0.8976666712760926,0.0004250928576228415,0.0004220354234041965,-0.0023333287239074574,188.8398001098633,0.686966667175293,19.955865946474567,,2.440945713121728,0.54,,0.000274968552210988,0.00027616001161602836,2.095436431204846,1.5459689997445987,1.528227859401283,1.1648865490604356
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llama_guard_20_calibration_upb_unified_aht_v2,0.9,Information-gain,Information-gain + CRC,True,50.0,50,0.9014266681671143,0.0001713471154130273,0.00016995555516382383,0.0014266681671142312,124.58743957519532,0.4033666682243347,13.650135495799264,,0.9892483482867146,0.94,1.0,0.0003317824529339798,0.00032601791555013886,2.1157850945512022,0.5164441756873835,0.5213074099839954,0.4675561572081841
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llm-judge_qwen25_14b_instruct_20_calibration_upb_unified_aht_v2,0.9,Information-gain,Information-gain + CRC,True,50.0,50,0.9023866665363312,0.00048005596085505943,0.00047615101879360135,0.002386666536331128,189.43195343017578,0.6972666656970978,12.662389889262101,,4.378605230614504,1.0,1.0,0.000274968552210988,0.00027616001161602836,2.095436431204846,1.7458576880701049,1.7241852504541446,2.08959105864971
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llama_guard_20_calibration_upb_unified_aht_v2,0.9,Information-gain,Information-gain + CRC,True,100.0,50,0.9007733380794525,0.00014988406800954857,0.00014748443843448888,0.0007733380794524569,124.37456024169921,0.4025,16.712736145500376,,0.5759604083813711,0.9,1.0,0.0003317824529339798,0.00032601791555013886,2.1157850945512022,0.45175405354958137,0.45238139194165544,0.2722206569394247
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llm-judge_qwen25_14b_instruct_20_calibration_upb_unified_aht_v2,0.9,Information-gain,Information-gain + CRC,True,100.0,50,0.8991133320331574,0.0002958802823477781,0.00029074885678424746,-0.0008866679668426691,189.0681002807617,0.6901600050926209,16.4206886990714,,2.943737386883448,1.0,1.0,0.000274968552210988,0.00027616001161602836,2.095436431204846,1.076051351940582,1.052827507801902,1.4048325890711184
