dataset,target_model,budget,source,family,method,crc,n1,seeds,cjr_mean,cjr_variance,cjr_bias,cjr_mae,cjr_mse,rmttu_mean,rmttu_variance,rmttu_bias,rmttu_mae,rmttu_mse,expected_cost_mean,realized_cost_mean,split_budget_valid_rate,crc_selector_valid_rate,estimator_kind,static_cjr_variance,static_cjr_mse,static_cjr_mae,static_rmttu_variance,static_rmttu_mse,static_rmttu_mae,cjr_variance_ratio_to_static,cjr_mse_ratio_to_static,cjr_mae_ratio_to_static,rmttu_variance_ratio_to_static,rmttu_mse_ratio_to_static,rmttu_mae_ratio_to_static,joint_geometric_mse_ratio,joint_worst_mse_ratio
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Information-gain,Information-gain + CRC,True,100.0,50,46.61928837933868,11.329716526238817,0.23595504600534112,2.7056793089254025,11.158796979449425,47.8803599143637,45.994012377954526,-0.4696221194128009,5.24618626208077,45.2946770654372,19.288815957261775,19.19452,0.76,1.0,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.9290452095529552,0.9203343084958517,1.0220395746704818,2.1825355918043146,2.158500900666902,1.474093921462067,1.4094475633392491,2.158500900666902
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Information-gain,Information-gain + CRC,True,200.0,50,46.7739164741852,14.540791571431932,0.39058314085186213,2.8070540626386515,14.402530929921,49.01215326211859,63.33043965705789,0.6621712283420913,6.259168812875279,62.502301599560816,19.839239814712187,19.96358,0.62,1.0,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,1.1923557594102923,1.187864907694823,1.060332734479049,3.0051941861544393,2.9785238142111075,1.7587257179856375,1.8809795096264894,2.9785238142111075
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Oracle,Oracle,False,,50,46.39,0.38273242630385534,0.006666666666666288,0.49333333333333373,0.37512222222222263,48.30251404809166,1.0554975163870564,-0.04746798568483129,0.8062612765281166,1.0366407757242904,129.62745333333334,129.62745333333334,1.0,,ordinary_ht,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.031384344557490756,0.030938626415206144,0.18635105369195576,0.050086104200815065,0.049400728585309736,0.22654644487764572,0.03909463756501514,0.049400728585309736
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Residual,Residual,False,50.0,50,45.96242205635642,3.193302217845788,-0.42091127697692016,1.403626307891111,3.306602476575215,46.50907276409992,27.10757024694603,-1.8409092696765674,4.376257471542971,29.954365781188216,20.014627659031344,20.01498,0.54,,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.26185316475251075,0.2727157514698033,0.5302038678349822,1.2863247586473456,1.4274641018897507,1.2296579296435068,0.6239326447967211,1.4274641018897507
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Residual,Residual,False,100.0,50,46.724135651871485,9.107566458156429,0.3408023185381435,2.29758527332048,9.041561349314275,48.29733559589286,51.6807942650428,-0.052646437883637986,5.476106349302669,50.649950027163776,19.941355602173317,20.01752666666667,0.62,,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.7468272457690837,0.7457129229493827,0.8678866958724146,2.452388192821296,2.413704431415209,1.5386977662484325,1.3416149174358913,2.413704431415209
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Residual,Residual,False,200.0,50,46.51432804525656,6.0832002617290675,0.13099471192322368,1.8147640690011133,5.978695871046333,47.31548361180117,38.7614399072452,-1.0344984219753135,4.947668588741239,39.05639809416971,20.046241480418473,20.202806666666667,0.54,,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.4988269608354317,0.49309965405051387,0.6855064793121453,1.839331204504691,1.861218048674406,1.3902152588039345,0.9580010312697592,1.861218048674406
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Residual,Residual + CRC,True,50.0,50,46.303963876959536,8.743557750437933,-0.0793694563738046,2.2618510387368436,8.57498610603425,47.48588242614102,59.986660612111486,-0.8640996076354799,6.228588932728443,59.53359553178503,18.096085830069125,18.1961,0.92,1.0,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.716978260107507,0.707231605951124,0.8543884953301117,2.846523167919402,2.83705123649846,1.7501332637357172,1.4164929587380335,2.83705123649846
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Residual,Residual + CRC,True,100.0,50,46.8483590724871,7.577654583809275,0.4650257391537649,1.9502514743066945,7.642350430208596,48.54810470172145,73.98306219260304,0.19812266794494918,6.0593128989485425,72.54265354030458,19.25169844570648,19.303426666666663,0.74,1.0,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.6213733304298389,0.6303114315478869,0.7366853051378562,3.5106888500865625,3.456993032035498,1.7025694221222878,1.4761376043151822,3.456993032035498
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Residual,Residual + CRC,True,200.0,50,46.37423302237272,9.909356098739261,-0.009100310960603509,2.3403661200958705,9.711251792424058,46.109078107115394,50.87042853385243,-2.240903926661101,5.687726167113326,54.87467037170054,19.863673749145438,19.981073333333327,0.62,1.0,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.8125745946041171,0.8009463940843806,0.8840466739962556,2.413934229810466,2.615031899885159,1.5981595298061515,1.4472388782190193,2.615031899885159
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Soft-prefix,Soft-prefix,False,50.0,50,46.35399622225179,6.947112326913081,-0.02933711108153972,2.100235467048015,6.80903074646143,47.82259915839665,14.98839929272534,-0.5273828753798449,3.027791011084238,14.966764004114747,19.845541899483553,19.828699999999998,0.58,,ordinary_ht,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.5696683948444303,0.5615824550901335,0.7933400519302989,0.7112385553956858,0.7132355428051406,0.8507605528909536,0.6328827436311207,0.7132355428051406
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Soft-prefix,Soft-prefix,False,100.0,50,46.224708300127965,6.4152656377739365,-0.15862503320536633,2.0232186977771556,6.312122226177862,47.24481659042281,12.334534379379495,-1.105165443353697,2.9505745279373174,13.30923434897508,19.893100244739504,20.023266666666665,0.66,,ordinary_ht,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.5260565694631862,0.5205993670168312,0.7642478436081876,0.58530575828242,0.6342465868107694,0.8290639636435851,0.5746201977186951,0.6342465868107694
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Soft-prefix,Soft-prefix,False,200.0,50,46.486331665888144,8.613181273467092,0.10299833255481858,2.283455598418197,8.45152630450682,47.290163323610635,19.428173806638252,-1.059818710165868,3.429917751903712,20.162826028923124,20.037993711663894,20.094433333333335,0.52,,ordinary_ht,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.7062872917070503,0.697049120215875,0.8625493719405933,0.9219174110818044,0.9608519358807915,0.9637516963019063,0.8183892695798413,0.9608519358807915
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Soft-prefix,Soft-prefix + CRC,True,50.0,50,46.01840232645995,7.248275345497365,-0.36493100687338836,2.1464592074620823,7.236484478365043,48.12465566205999,15.874048494045308,-0.22532637171649597,3.066511995181403,15.607339497955325,18.511906338605645,18.457373333333337,0.88,1.0,ordinary_ht,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.5943639871006225,0.5968371815171836,0.8108005439541061,0.7532649149976671,0.7437619284641546,0.8616405263496202,0.6662617902178776,0.7437619284641546
