dataset,model,budget,target,n1,crc,method,seeds,coverage_mean,coverage_var,mean_A_weight,mean_A_weight_minus1,cond_var,seq_path_var,expected_cost,realized_cost,pi_min,focus_lift,target_rate,soft_proxy,static_coverage_var,static_mean_A_weight,static_cond_var,static_expected_cost,coverage_var_ratio,mean_A_weight_ratio,cond_var_ratio
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Information-gain + sequential AHT,50,0.6954800045490265,0.0004762909887422013,10.425261580895976,3.120206113726338,3.1954105006260307,0.9586231501878092,20.19865645823165,,0.005,2.011857390054652,,1.114005630196056,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,0.7712079818124803,3.490445204313807,0.709215216183104
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Information-gain + sequential AHT + CRC,50,0.7023533308506011,0.000513992760490316,12.290372551493494,3.7489545946889193,3.9002382558700317,1.1700714767610094,18.38390297806429,,0.005,2.027739090126246,,1.4033891527777231,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,0.8322545016666614,4.114896455950956,0.865650381151515
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Oracle,50,0.6991066658496856,0.00013830129716024367,0.3019933333333333,0.0,,,126.15182666666668,,,,,,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,0.2239367671991171,0.10110932698318756,
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Residual + sequential AHT,50,0.69992666721344,0.00035310788027241124,13.42125204768838,4.0070474660482525,3.3086950661061327,0.9926085198318398,20.168567665103325,,0.005,2.017208512024407,,43.07430347780828,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,0.5717505099689504,4.493522247114176,0.7343585076573728
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Residual + sequential AHT + CRC,50,0.7025066637992858,0.00040148411870737094,15.561077386203378,4.694893958804295,4.033020116058828,1.2099060348176485,18.382696592228807,,0.005,2.057874285174381,,53.05404059970767,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,0.6500810727823025,5.209949651158933,0.895121059695177
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Soft-prefix DAPRO,50,0.702246664762497,0.001787849463885633,4.44404844277332,1.5068521111018172,13.826272587022176,4.1478817761066535,20.174719724972487,,0.005,2.1237016330804117,,2.8725206703038384,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,2.894876891265435,1.4878962464827916,3.0687146142538952
autoif,llama_31_8B_instruct,20.0,0.7,200,100,Soft-prefix DAPRO + CRC,50,0.6965800023078919,0.00274045257411359,5.888884886141151,1.945593209067129,18.623705176026057,5.587111552807817,18.462488735644865,,0.005,2.175868127953962,,3.883975126708624,0.0006175908444604399,2.9867999554932125,4.505558295580964,12.615182854647538,4.437327072922842,1.971636860148779,4.133495552436226
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Endpoint/block + terminal residual AHT,50,0.7995133340358734,0.0003101324515931403,1.2594734490243011,0.58276187046507,1.9425395682169,0.58276187046507,19.916421727716507,,0.005,,,,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.6449879071068446,0.630156838454929,0.5905092672449508
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Endpoint/block + terminal residual AHT + CRC,50,0.7989622251192728,0.0004578113872909532,1.848908175074121,0.9042494241145651,3.01416474704855,0.9042494241145651,15.864132269583333,,0.005,,,,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.9521183836828904,0.9250708151892928,0.916270764960018
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Information-gain + sequential AHT,50,0.7988733339309693,0.00019013563847451265,8.198947098997904,2.9012094172667644,2.378208714383966,0.7134626143151899,19.097489467422744,,0.005,2.1115788714635184,,0.7800784178040339,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.39542842709986203,4.1022084161966665,0.7229475827746048
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Information-gain + sequential AHT + CRC,50,0.7973200023174286,0.0007560953897105308,10.751614992642544,3.8842796281467673,4.23845726086061,1.271537178258183,12.93340444179273,,0.005,2.1669428624146017,,1.4458112941480445,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,1.5724648629234774,5.3793938389863705,1.2884413436464823
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Oracle,50,0.7988466715812683,7.98421736330548e-05,0.2411933333333333,0.0,,,126.15182666666668,,,,,,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.16604917094585134,0.12067711987694832,
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Residual + sequential AHT,50,0.7982400000095368,0.0003925716612940639,11.935051392059643,4.199513343477943,2.6185263576706417,0.7855579073011925,18.97770546652557,,0.005,2.2024258143586675,,28.663239076400817,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.8164381795804174,5.9715067894792035,0.7960013304382936
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Residual + sequential AHT + CRC,50,0.8020799958705902,0.00038864655861894194,14.712694411833736,5.276438145273729,4.143058531870691,1.2429175595612074,12.928143228041368,,0.005,2.282268149978918,,56.25871467580821,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.8082750746018786,7.361254818747483,1.2594412478576247
